Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
17137,Cronon GmbH,Berlin,2022-05-24T09:07:14.540264Z,126.7831638022885,18.081,29107529.8916866,0.0,,88.150.119.189
30907,Deutsche Telekom,Berlin,2022-05-26T10:30:03.014068Z,128.29119834449776,36.89,115683217.5716637,27649532.47803114,,88.150.119.189
32298,SYNLINQ,Frankfurt Am Main,2022-05-26T12:00:02.901052Z,304.6108115598457,25.04,115810990.52296892,25843714.404404607,,88.150.119.189
32298,SYNLINQ,Frankfurt Am Main,2022-05-26T13:30:02.431033Z,304.6108115598457,24.975,117438641.14681095,24250297.375386976,,88.150.119.189
26183,TechnikNews.NET,Falkenstein,2022-05-26T15:00:02.292045Z,343.01866655856566,30.282,111291516.11594518,25811226.047272578,,88.150.119.189
6334,Brandl Services GmbH,Pavelsbach,2022-05-26T16:30:02.726771Z,319.420106363176,26.626,74677057.85484242,25968658.554094028,,88.150.119.189
44599,Stadtwerke Lübeck GmbH,Lübeck,2022-05-26T18:00:02.538341Z,202.5300602128149,5041.743,0.0,0.0,,88.150.119.189
36011,MDCC Magdeburg-City-Com GmbH,Magdeburg,2022-05-26T19:30:01.825583Z,0.6327412256035061,18.611,114182335.94246471,24627251.696324352,,88.150.119.189
36011,MDCC Magdeburg-City-Com GmbH,Magdeburg,2022-05-26T21:00:02.482286Z,0.6327412256035061,17.669,112680993.93355092,25883401.345395483,,88.150.119.189
17982,wittenberg-net GmbH,Lutherstadt Wittenberg,2022-05-30T13:57:45.088839Z,67.56796688816632,23.857,117390550.32691208,26440219.306990687,,88.150.119.189
20507,DNS:NET Internet Service GmbH,Berlin,2022-05-30T14:02:59.050858Z,126.7831638022885,554.659,75971916.09041484,24660260.781503074,,88.150.119.189
