Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
17137,Cronon GmbH,Berlin,2022-02-28T23:15:01.808924Z,126.48082028431124,22.134,121728462.24618931,24867003.630075924,,213.211.210.169
36011,MDCC Magdeburg-City-Com GmbH,Magdeburg,2022-03-01T01:45:02.318290Z,1.8382502132232243,15.762,123336537.5397567,25174053.10061594,,213.211.210.169
44668,Vereinigte Stadtwerke Media GmbH,Ratzeburg,2022-03-01T02:15:02.622663Z,184.64014409904857,32.235,119969480.4627154,21838835.693279184,,213.211.210.169
11298,Daten- und Telekommunikations-GmbH,Dessau,2022-03-01T07:45:02.187143Z,52.633059861369375,29.882,82269585.80415188,25363669.34867189,,213.211.210.169
11298,Daten- und Telekommunikations-GmbH,Dessau,2022-03-01T08:15:01.842048Z,52.633059861369375,33.698,97901362.69417486,24142111.73110248,,213.211.210.169
38099,ERZNET AG,Marienberg,2022-03-01T10:45:02.281470Z,194.9285733917766,30.89,121948885.44534408,23175862.581407867,,213.211.210.169
41175,CITUX GmbH,Dresden,2022-03-01T11:15:02.658253Z,188.79984756245702,31.277,81517885.38428599,24409944.53374543,,213.211.210.169
31120,RETN,Frankfurt,2022-03-01T13:45:02.371010Z,304.2574739295764,22.967,119846655.72564955,22109371.518418398,,213.211.210.169
37748,ropa GmbH & Co. KG,Frankfurt,2022-03-01T14:15:02.062415Z,304.2574739295764,26.946,120650783.3214304,25102772.59254636,,213.211.210.169
36896,AlphaCron,Apfelstädt,2022-03-01T16:45:01.895274Z,146.87284170416925,42.67,121398632.8522728,24580703.477135375,,213.211.210.169
11298,Daten- und Telekommunikations-GmbH,Dessau,2022-03-01T17:15:01.831426Z,52.633059861369375,36.453,62035865.212085,23926246.478559952,,213.211.210.169
48042,htp GmbH,Hannover,2022-03-01T19:45:02.333490Z,132.73324650259352,29.855,108814457.33087584,25332986.45271607,,213.211.210.169
48042,htp GmbH,Hannover,2022-03-01T20:15:02.690418Z,132.73324650259352,29.759,115477997.73125304,24935739.94087763,,213.211.210.169
39965,Daxis-ICT,Enschede,2022-03-01T22:45:02.612215Z,323.63099482676716,34.825,9821140.576660778,15191144.653071048,,213.211.210.169
24887,Studenten Net Twente,Enschede,2022-03-01T23:15:01.804260Z,323.2016033876051,32.918,106846988.20659043,24418491.39075147,,213.211.210.169
36011,MDCC Magdeburg-City-Com GmbH,Magdeburg,2022-03-02T01:45:02.527816Z,1.8382502132232243,16.419,113037201.7874591,24210143.13703292,,213.211.210.169
36011,MDCC Magdeburg-City-Com GmbH,Magdeburg,2022-03-02T02:15:02.454275Z,1.8382502132232243,17.241,123502251.14658874,25407620.78531166,,213.211.210.169
48042,htp GmbH,Hannover,2022-03-02T07:45:02.140656Z,132.73324650259352,29.896,117701600.90864225,25171506.008618224,,213.211.210.169
48042,htp GmbH,Hannover,2022-03-02T08:15:01.871057Z,132.73324650259352,29.618,121425883.28267238,25296079.142025348,,213.211.210.169
36011,MDCC Magdeburg-City-Com GmbH,Magdeburg,2022-03-02T10:45:02.462669Z,1.8382502132232243,21.703,123425273.33945304,25251160.14276239,,213.211.210.169
36011,MDCC Magdeburg-City-Com GmbH,Magdeburg,2022-03-02T11:15:01.818805Z,1.8382502132232243,20.324,122988844.74675632,20989092.072064877,,213.211.210.169
44668,Vereinigte Stadtwerke Media GmbH,Ratzeburg,2022-03-02T13:45:01.714744Z,184.64014409904857,31.91,120989135.71203448,24914683.440469746,,213.211.210.169
44668,Vereinigte Stadtwerke Media GmbH,Ratzeburg,2022-03-02T14:15:01.894603Z,184.64014409904857,33.423,119970732.4358769,25276444.31750094,,213.211.210.169
17137,Cronon GmbH,Berlin,2022-03-02T16:45:02.337619Z,126.48082028431124,22.258,121771421.2558564,24822460.81339897,,213.211.210.169
17137,Cronon GmbH,Berlin,2022-03-02T17:15:02.665767Z,126.48082028431124,21.864,104820264.82926077,24711510.73059783,,213.211.210.169
44668,Vereinigte Stadtwerke Media GmbH,Ratzeburg,2022-03-02T19:45:02.343554Z,184.64014409904857,31.434,122387453.4163055,21103629.76558154,,213.211.210.169
24802,Vereinigte Stadtwerke Media GmbH,Bad Oldesloe,2022-03-02T20:15:02.237199Z,205.32933538251166,32.864,102785928.66956471,19895760.758969836,,213.211.210.169
38099,ERZNET AG,Marienberg,2022-03-02T22:45:02.483216Z,194.9285733917766,33.684,121777831.87785392,24902264.906074293,,213.211.210.169
41175,CITUX GmbH,Dresden,2022-03-02T23:15:01.991619Z,188.79984756245702,32.08,84097126.52754007,25205304.564268366,,213.211.210.169
30620,"O2 Czech Republic, a.s.",Prague,2022-03-03T01:45:02.480754Z,298.4260949454471,31.823,116314002.89201401,24992001.460933305,,213.211.210.169
30620,"O2 Czech Republic, a.s.",Prague,2022-03-03T02:15:01.826970Z,298.4260949454471,33.92,111479425.84107867,24578448.006623942,,213.211.210.169
2495,IBH IT-Service GmbH,Dresden,2022-03-03T07:45:02.228238Z,188.79984756245702,27.068,92022148.77640435,25237381.931174304,,213.211.210.169
2495,IBH IT-Service GmbH,Dresden,2022-03-03T08:15:01.771511Z,188.79984756245702,27.979,102279235.5168874,25273408.99047769,,213.211.210.169
8827,Marco Bungalski GmbH,Verden,2022-03-03T10:45:02.597541Z,185.3055616375586,33.415,120716756.33610968,24893377.236784134,,213.211.210.169
8827,Marco Bungalski GmbH,Verden,2022-03-03T11:15:01.627249Z,185.3055616375586,34.526,121205672.2834338,16659692.508743672,,213.211.210.169
48042,htp GmbH,Hannover,2022-03-03T13:45:02.187472Z,132.73324650259352,32.826,122420186.00500461,25313504.863313917,,213.211.210.169
31469,Deutsche Telekom,Hamburg,2022-03-03T14:15:01.877522Z,194.4146394890599,35.089,99341127.90978208,25497822.2478423,,213.211.210.169
2495,IBH IT-Service GmbH,Dresden,2022-03-03T16:45:02.219320Z,188.79984756245702,27.042,121675005.68625887,25432158.54724504,,213.211.210.169
38032,Drahtlos-DSL GmbH Mittelsachsen,Leipzig,2022-03-03T17:15:01.718268Z,100.7398678087568,32.586,110923914.30496357,25028838.196719598,,213.211.210.169
30593,SysEleven GmbH,Berlin,2022-03-03T19:45:02.558810Z,126.48082028431124,26.676,92545175.10487227,25117581.89334659,,213.211.210.169
30593,SysEleven GmbH,Berlin,2022-03-03T20:15:02.103711Z,126.48082028431124,25.435,122788748.82505938,25365536.141547542,,213.211.210.169
17137,Cronon GmbH,Berlin,2022-03-03T22:45:02.599944Z,126.48082028431124,21.661,121563629.04002647,24833681.40263827,,213.211.210.169
28624,Händle & Korte GmbH,Dusseldorf,2022-03-06T23:15:02.615549Z,349.2300854245688,26.365,121299971.15601894,24876612.181775965,,213.211.210.169
11298,Daten- und Telekommunikations-GmbH,Dessau,2022-03-07T01:45:02.029825Z,52.633059861369375,27.113,68157467.1527518,25126899.01333568,,213.211.210.169
11298,Daten- und Telekommunikations-GmbH,Dessau,2022-03-07T02:15:01.702313Z,52.633059861369375,27.397,87122903.48059483,25508480.710226655,,213.211.210.169
2495,IBH IT-Service GmbH,Dresden,2022-03-07T07:45:01.968541Z,188.79984756245702,22.075,118745329.85459809,24931287.171601947,,213.211.210.169
2495,IBH IT-Service GmbH,Dresden,2022-03-07T08:15:02.164772Z,188.79984756245702,21.478,122346429.0570561,25209581.7624433,,213.211.210.169
36011,MDCC Magdeburg-City-Com GmbH,Magdeburg,2022-03-07T10:45:02.052881Z,1.8382502132232243,20.083,84413100.67204496,24480770.581135023,,213.211.210.169
36011,MDCC Magdeburg-City-Com GmbH,Magdeburg,2022-03-07T11:15:02.415435Z,1.8382502132232243,17.911,115412749.33596495,23896630.005594734,,213.211.210.169
17137,Cronon GmbH,Berlin,2022-03-07T13:45:01.723467Z,126.48082028431124,20.587,121030047.25952114,24603081.72101261,,213.211.210.169
17137,Cronon GmbH,Berlin,2022-03-07T14:15:02.041663Z,126.48082028431124,21.708,113126577.04625927,21802877.361045092,,213.211.210.169
17301,AmigoNet s.r.o.,Ústí nad Labem,2022-03-07T16:45:01.777771Z,233.44680777228896,33.241,92460650.2193933,22646239.810727645,,213.211.210.169
17301,AmigoNet s.r.o.,Ústí nad Labem,2022-03-07T17:15:02.563490Z,233.44680777228896,30.453,100188543.55404998,22148215.643069852,,213.211.210.169
